x,y
357.4974575,-469.3428361
357.4274575,-469.3428361
357.3574575,-469.3428361
357.2874575,-469.3428361
357.2174575,-469.3428361
357.1474575,-469.3428361
357.0774575,-469.3428361
357.0074575,-469.3428361
356.9374575,-469.3428361
356.8674575,-469.3428361
356.7974575,-469.3428361
356.7274575,-469.3428361
356.6574575,-469.3428361
356.5874575,-469.3428361
356.5174575,-469.3428361
356.4474575,-469.3428361
356.3774575,-469.3428361
356.3074575,-469.3428361
356.2374575,-469.3428361
356.1674575,-469.3428361
356.0974575,-469.3428361
356.0274575,-469.3428361
355.9574575,-469.3428361
355.8874575,-469.3428361
355.8174575,-469.3428361
355.7474575,-469.3428361
355.6774575,-469.3428361
355.6074575,-469.3428361
355.5374575,-469.3428361
355.4674575,-469.3428361
355.3974575,-469.3428361
355.3274575,-469.3428361
355.2574575,-469.3428361
355.1874575,-469.3428361
355.1174575,-469.3428361
355.0474575,-469.3428361
354.9774575,-469.3428361
354.9074575,-469.3428361
354.8374575,-469.3428361
354.7674575,-469.3428361
354.6974575,-469.3428361
354.6274575,-469.3428361
354.5574575,-469.3428361
354.4874575,-469.3428361
354.4174575,-469.3428361
354.3474575,-469.3428361
354.2774575,-469.3428361
354.2074575,-469.3428361
354.1374575,-469.3428361
354.0674575,-469.3428361
353.9974575,-469.3428361
353.9274575,-469.3428361
353.8574575,-469.3428361
353.7874575,-469.3428361
353.7174575,-469.3428361
353.6474575,-469.3428361
353.5774575,-469.3428361
353.5074575,-469.3428361
353.4374575,-469.3428361
353.3674575,-469.3428361
353.2974575,-469.3428361
353.2274575,-469.3428361
353.1574575,-469.3428361
353.0874575,-469.3428361
353.0174575,-469.3428361
352.9474575,-469.3428361
352.8774575,-469.3428361
352.8074575,-469.3428361
352.7374575,-469.3428361
352.6674575,-469.3428361
352.5974575,-469.3428361
352.5274575,-469.3428361
352.4574575,-469.3428361
352.3874575,-469.3428361
352.3174575,-469.3428361
352.2474575,-469.3428361
352.1774575,-469.3428361
352.1074575,-469.3428361
352.0374575,-469.3428361
351.9674575,-469.3428361
351.8974575,-469.3428361
351.8274575,-469.3428361
351.7574575,-469.3428361
351.6874575,-469.3428361
351.6174575,-469.3428361
351.5474575,-469.3428361
351.4774575,-469.3428361
351.4074575,-469.3428361
351.3374575,-469.3428361
351.2674575,-469.3428361
351.1974575,-469.3428361
351.1274575,-469.3428361
351.0574575,-469.3428361
350.9874575,-469.3428361
350.9174575,-469.3428361
350.8474575,-469.3428361
350.7774575,-469.3428361
350.7074575,-469.3428361
350.6374575,-469.3428361
350.5674575,-469.3428361
350.4974575,-469.3428361
350.4274575,-469.3428361
350.3574575,-469.3428361
350.2874575,-469.3428361
350.2174575,-469.3428361
350.1474575,-469.3428361
350.0774575,-469.3428361
350.0074575,-469.3428361
349.9374575,-469.3428361
349.8674575,-469.3428361
349.7974575,-469.3428361
349.7274575,-469.3428361
349.6574575,-469.3428361
349.5874575,-469.3428361
349.5174575,-469.3428361
349.4474575,-469.3428361
349.3774575,-469.3428361
349.3074575,-469.3428361
349.2374575,-469.3428361
349.1674575,-469.3428361
349.0974575,-469.3428361
349.0274575,-469.3428361
348.9574575,-469.3428361
348.8874575,-469.3428361
348.8174575,-469.3428361
348.7474575,-469.3428361
348.6774575,-469.3428361
348.6074575,-469.3428361
348.5374575,-469.3428361
348.4674575,-469.3428361
348.3974575,-469.3428361
348.3274575,-469.3428361
348.2574575,-469.3428361
348.1874575,-469.3428361
348.1174575,-469.3428361
348.0474575,-469.3428361
347.9774575,-469.3428361
347.9074575,-469.3428361
347.8374575,-469.3428361
347.7674575,-469.3428361
347.6974575,-469.3428361
347.6274575,-469.3428361
347.5574575,-469.3428361
347.4874575,-469.3428361
347.4174575,-469.3428361
347.3474575,-469.3428361
347.2774575,-469.3428361
347.2074575,-469.3428361
347.1374575,-469.3428361
347.0674575,-469.3428361
346.9974575,-469.3428361
346.9274575,-469.3428361
346.8574575,-469.3428361
346.7874575,-469.3428361
346.7174575,-469.3428361
